state,sx,num
Alabama,AL,488
Alaska,AK,73
Arizona,AZ,712
Arkansas,AR,302
California,CA,3977
Colorado,CO,568
Connecticut,CT,358
Delaware,DE,97
Florida,FL,2131
Georgia,GA,1054
Hawaii,HI,142
Idaho,ID,175
Illinois,IL,1276
Indiana,IN,669
Iowa,IA,316
Kansas,KS,291
Kentucky,KY,447
Louisiana,LA,468
Maine,ME,134
Maryland,MD,607
Massachusetts,MA,689
Michigan,MI,999
Minnesota,MN,562
Mississippi,MS,298
Missouri,MO,613
Montana,MT,106
Nebraska,NE,193
Nevada,NV,305
New Hampshire,NH,135
New Jersey,NJ,903
New Mexico,NM,209
New York,NY,1986
North Carolina,NC,1039
North Dakota,ND,75
Ohio,OH,1169
Oklahoma,OK,394
Oregon,OR,419
Pennsylvania,PA,1282
Rhode Island,RI,106
South Carolina,SC,508
South Dakota,SD,87
Tennessee,TN,678
Texas,TX,2870
Utah,UT,315
Vermont,VT,62
Virginia,VA,852
Washington,WA,753
West Virginia,WV,180
Wisconsin,WI,581
Wyoming,WY,57
